Filename,Material,Predicted_CT,Predicted_Energy,
0-Mg4CuB10.poscar,Mg4CuB10,4.8689003,0.088999137,
1-Mg4YB10.poscar,Mg4YB10,6.4796467,0.101665304,
2-Mg4TiB10.poscar,Mg4TiB10,5.3352656,0.082490199,
3-Mg4ZrB10.poscar,Mg4ZrB10,6.468237,0.081376034,
4-Mg4HfB10.poscar,Mg4HfB10,3.059874,0.069111267,
5-Mg4VB10.poscar,Mg4VB10,2.6851535,0.060909169,
6-Mg4NbB10.poscar,Mg4NbB10,2.1645277,0.067991047,
7-Mg4TaB10.poscar,Mg4TaB10,2.5971155,0.063949472,
8-Mg4MoB10.poscar,Mg4MoB10,7.9657145,0.065998708,
9-Mg4WB10.poscar,Mg4WB10,3.1245985,0.18499106,
10-Mg4MnB10.poscar,Mg4MnB10,3.944231,0.056833706,
11-Mg4TcB10.poscar,Mg4TcB10,3.042942,0.053484298,
12-Mg4ReB10.poscar,Mg4ReB10,3.7194972,0.09643544,
13-Mg4FeB10.poscar,Mg4FeB10,8.246445,0.037183304,
14-Mg4RuB10.poscar,Mg4RuB10,4.7493973,0.02874821,
15-Mg4OsB10.poscar,Mg4OsB10,2.5993986,0.061909194,
16-Mg4CoB10.poscar,Mg4CoB10,3.885047,0.035490752,
17-Mg4RhB10.poscar,Mg4RhB10,3.2361834,0.018217871,
18-Mg4IrB10.poscar,Mg4IrB10,2.1501966,0.019680632,
19-Mg4NiB10.poscar,Mg4NiB10,3.0596917,0.024870132,
20-Mg4PdB10.poscar,Mg4PdB10,4.4243927,0.054046831,
21-Mg4PtB10.poscar,Mg4PtB10,2.5486138,0.035646661,
22-Mg4CuB10.poscar,Mg4CuB10,4.8689003,0.088999137,
23-Mg4AgB10.poscar,Mg4AgB10,3.6927257,0.092776511,
24-Mg4AuB10.poscar,Mg4AuB10,11.384086,0.100338735,
25-Mg4ZnB10.poscar,Mg4ZnB10,6.0683494,0.159157211,
26-Mg4CdB10.poscar,Mg4CdB10,2.3917513,0.176368739,
27-Mg4HgB10.poscar,Mg4HgB10,5.8885627,0.252516029,
29-Mg4GaB10.poscar,Mg4GaB10,12.035721,0.251859299,
30-Mg4InB10.poscar,Mg4InB10,8.928748,0.246398389,
