,Filename,Count,MP_ID,nElements,EboveHull,Material,FormationEnergy,Predicted_CT
423,423_Mg2Al12Fe2Si4B4O36.poscar,424,mp-1222184,6,0.0,MgAl6FeSi2(BO9)2,-3.197639452,10.3309765
703,703_Mg1Co2B2O6.poscar,704,mp-2217796,4,0.29990915,MgCo2(BO3)2,-2.236363433,5.484036
828,828_Mg16B2Rh8.poscar,829,mp-568621,3,0.0,Mg8BRh4,-0.435582617,3.5458193
829,829_Mg4B12H60O52.poscar,830,mp-706339,4,0.015383048,MgB3H15O13,-1.765128754,48.680813
1003,1003_Mg12Ni2B2.poscar,1004,mp-1021796,3,0.450437517,Mg6NiB,0.332600063,4.6868477
1499,1499_Mg30B1W1O32.poscar,1500,mp-1038517,4,0.15418833,Mg30BWO32,-2.851061302,19.90101
1850,1850_Mg14Fe1B1O16.poscar,1851,mp-1035654,4,0.191242793,Mg14FeBO16,-2.763089854,4.48504
1905,1905_Mg4V2B4Ir10.poscar,1906,mp-1105469,4,0.0,Mg2VB2Ir5,-0.512068304,3.9031105
1913,1913_Mg20Ta4B12O48.poscar,1914,mp-1196921,4,0.0,Mg5Ta(BO4)3,-3.108380227,18.410913
1988,1988_Cs1Mg6B1O7.poscar,1989,mp-1099225,4,0.774136533,CsMg6BO7,-2.01915739,19.0529
2197,2197_Na1Mg30B1O32.poscar,2198,mp-1039794,4,0.070012997,NaMg30BO32,-2.956478403,63.48473
3290,3290_Mg4B16O64.poscar,3291,mp-1212380,3,1.024634748,Mg(BO4)4,-0.65020681,4.4126945
3624,3624_Mg6Zn1B1.poscar,3625,mp-1022672,3,0.294219316,Mg6ZnB,0.22463015,3.890839
4433,4433_Li4Mg23B54.poscar,4434,mp-530613,3,0.040149864,Li4Mg23B54,-0.108676928,2.514015
4598,4598_Mg14Ti1B1.poscar,4599,mp-1026415,3,0.326138646,Mg14TiB,0.204923173,4.89947
5534,5534_Mg30Co1B1O32.poscar,5535,mp-1036968,4,0.113627654,Mg30CoBO32,-2.893588406,2.332742
5798,5798_Mg1Nb2B2O8.poscar,5799,mp-2219183,4,0.251649528,MgNb2(BO4)2,-2.687701845,8.296705
6349,6349_Mg8Ti4B4O20.poscar,6350,mp-1210684,4,0.041678373,Mg2TiBO5,-3.094350553,20.496588
6361,6361_Hf1Mg14B1.poscar,6362,mp-1026427,3,0.325614279,HfMg14B,0.213032948,5.7993174
6920,6920_Hf1Mg30B1O31.poscar,6921,mp-1038485,4,0.13295576,HfMg30BO31,-2.895619419,5.178448
6959,6959_Mg12Ti2B2.poscar,6960,mp-1021314,3,0.563074244,Mg6TiB,0.340310311,4.8409886
6962,6962_Mg14Cd1B1.poscar,6963,mp-1026566,3,0.209702349,Mg14CdB,0.158662431,3.9625087
7595,7595_Mg20Sn4B8O40.poscar,7596,mp-1198031,4,0.0,Mg5Sn(BO5)2,-2.910362786,58.984997
7754,7754_Mg14B1C1O16.poscar,7755,mp-1033731,4,0.327782727,Mg14BCO16,-2.628188784,2.438426
7795,7795_Mg2B18N2.poscar,7796,mp-30091,3,0.0,MgB9N,-0.422954555,2.6714816
8080,8080_Sm4Mg4B20O40.poscar,8081,mp-1208862,4,0.0,SmMg(BO2)5,-3.103105502,70.98908
8292,8292_Mg30Cr1B1O32.poscar,8293,mp-1038513,4,0.11525592,Mg30CrBO32,-2.897880231,4.512636
8300,8300_Mg3Si9B36C1.poscar,8301,mp-1222229,4,0.0,Mg3Si9B36C,-0.117245441,2.1467323
8571,8571_Mg1B2H8.poscar,8572,mp-1103290,3,0.047623754,Mg(BH4)2,-0.306338432,50.888344
8655,8655_Mg12B2W2.poscar,8656,mp-1017056,3,0.552783263,Mg6BW,0.460864487,6.1974363
10154,10154_Mg1Nb2B2O8.poscar,10155,mp-2219466,4,0.312627729,MgNb2(BO4)2,-2.626723644,9.801802
10194,10194_K1Mg6B1O7.poscar,10195,mp-1031273,4,0.775463527,KMg6BO7,-2.023711221,48.224155
10254,10254_Mg6B2H6O12.poscar,10255,mp-554719,4,0.011741921,Mg3B(HO2)3,-2.432926392,33.17367
11352,11352_Mg1Sc1B1.poscar,11353,mp-1100394,3,0.336905618,MgScB,-0.102245905,3.4738307
