,Filename,Count,MP_ID,nElements,EboveHull,Material,FormationEnergy,Predicted_CT
6,6_Mg149Tc1.poscar,7,mp-1185636,2,0.0,Mg149Tc,-0.018674473,6.1304603
12,12_Mg6Cd1In1.poscar,13,mp-1222082,3,0.0,Mg6CdIn,-0.082763832,4.471446
16,16_Mg1Fe3O3F3.poscar,17,mp-2217094,4,0.144696243,MgFe3(OF)3,-2.265456956,2.1699147
23,23_Mg1Al2Si6O16.poscar,24,mp-1233307,4,0.072087964,MgAl2(Si3O8)2,-3.234104489,49.48006
31,31_Nd2Mg1Bi2O8.poscar,32,mp-2220109,4,0.16416988,Nd2Mg(BiO4)2,-2.468641949,2.4913
35,35_Mg14Zr1Fe1.poscar,36,mp-1027991,3,0.192618469,Mg14ZrFe,0.147349301,5.610914
37,37_Dy8Mg4S16.poscar,38,mp-1232142,3,0.229580155,Dy2MgS4,-1.942666126,5.923638
41,41_Cs2Mg2Cl6.poscar,42,mp-23004,3,0.0,CsMgCl3,-2.322267294,50.372986
45,45_Na1Ca1Mg6.poscar,46,mp-1099110,3,0.110822731,NaCaMg6,0.058697798,5.2255607
47,47_K4Mg1V6O16.poscar,48,mp-1233717,4,0.089970888,K4MgV6O16,-2.419078603,4.662485
59,59_Mg1Mn3Cu1O8.poscar,60,mp-2219075,4,0.072711339,MgMn3CuO8,-1.823803646,3.5048096
61,61_Gd1Mg1Rh2.poscar,62,mp-866059,3,0.0,GdMgRh2,-0.667730027,4.20566
78,78_K1Mg14W1.poscar,79,mp-1026822,3,0.276671277,KMg14W,0.26219493,7.4248366
95,95_Y2Mg1Fe2O6.poscar,96,mp-2217559,4,0.220283256,Y2Mg(FeO3)2,-2.679273108,5.4282513
97,97_Yb28Mg12Ge32.poscar,98,mp-685798,3,0.199057975,Yb7Mg3Ge8,-0.40271574,2.975391
99,99_Mg2Mn4O8.poscar,100,mp-1002568,3,0.071549738,MgMn2O4,-2.270490445,2.1439326
102,102_Mg1Nb2P2O10.poscar,103,mp-2232721,4,0.284928935,MgNb2(PO5)2,-2.652689339,11.146665
111,111_Mg6Ti4Al36.poscar,112,mp-684031,3,0.0,Mg3(TiAl9)2,-0.16058912,5.380234
127,127_Mg30Fe1Si1O32.poscar,128,mp-1037676,4,0.105140311,Mg30FeSiO32,-2.919603529,15.000286
138,138_Mg2V10H40N2O44.poscar,139,mp-1204069,5,0.047568162,MgV5H20NO22,-1.657939659,4.5153003
141,141_Mg2Mn4S8.poscar,142,mp-1402738,3,0.057213639,Mg(MnS2)2,-1.032539261,12.141864
153,153_Mg2Cr2O8.poscar,154,mp-19120,3,0.0,MgCrO4,-2.191377197,20.315296
165,165_Tb4Mg2Cu4.poscar,166,mp-1205707,3,0.0,Tb2MgCu2,-0.229434175,4.1940393
168,168_Mg4H4O4F4.poscar,169,mp-1189172,4,0.0,MgHOF,-2.705992458,47.171204
169,169_Sr2Mg1Cu1Br2O2.poscar,170,mp-2227665,5,0.745913344,Sr2MgCu(BrO)2,-1.7666227,4.0219784
180,180_Mg40O40.poscar,181,mp-1245157,2,0.348319771,MgO,-2.705720528,27.2296
184,184_Mg16Sc1Al12.poscar,185,mp-1185731,3,0.037521984,Mg16ScAl12,-0.048551626,3.6103277
192,192_Mg3Sb3.poscar,193,mp-1094552,2,0.141736424,MgSb,-0.230134675,18.325005
197,197_Cs8Mg1Sn8O12.poscar,198,mp-1234669,4,0.140920939,Cs8Mg(Sn2O3)4,-1.609274235,10.476586
200,200_Mg1V4O8.poscar,201,mp-2218892,3,0.207388105,MgV4O8,-2.412901433,12.168594
203,203_Mg1Cu1P1O4.poscar,204,mp-2225329,4,0.242354326,MgCuPO4,-2.242448861,31.752005
213,213_Mg1Fe6Sb10I6O18.poscar,214,mp-1234200,5,0.109849902,MgFe6Sb10(IO3)6,-1.438647467,12.1933975
222,222_Mg1Fe4Cu3O12.poscar,223,mp-1043062,4,0.081733208,MgFe4(CuO4)3,-1.401223428,2.7209444
229,229_Rb3Na1Mg1W2O8.poscar,230,mp-2226963,5,0.237584097,Rb3NaMg(WO4)2,-2.039499249,4.48907
232,232_K1La1Mg30O32.poscar,233,mp-1040324,4,0.091465336,KLaMg30O32,-2.959850055,16.44525
244,244_Mg2Si2H12O12.poscar,245,mp-1193955,4,0.0624939,MgSi(HO)6,-1.924258862,48.958454
257,257_Li1Mg16Al12.poscar,258,mp-973970,3,0.008462901,Li(Mg4Al3)4,-0.028956239,3.1375895
259,259_Mg12Mn2Bi2.poscar,260,mp-1022940,3,0.153389652,Mg6MnBi,0.071874382,4.539781
280,280_Ba3Mg1Nb2Zn1O9.poscar,281,mp-2233355,5,0.300659037,Ba3MgNb2ZnO9,-2.763863104,8.198505
286,286_Er1Mg1Pd2.poscar,287,mp-1184235,3,0.001522585,ErMgPd2,-0.834973618,4.6075287
294,294_K1Mg1Mn2Mo2O10.poscar,295,mp-2233162,5,0.098741718,KMgMn2(MoO5)2,-2.14122899,8.144473
296,296_Mg12Mo2W2.poscar,297,mp-1016654,3,0.296077036,Mg6MoW,0.284123699,4.1565237
300,300_Mg6Al12O24.poscar,301,mp-34144,3,0.009986846,MgAl2O4,-3.365054409,55.819557
317,317_Mg2Ti8Fe2O20.poscar,318,mp-1221997,4,0.0,MgTi4FeO10,-3.224779022,5.1245036
320,320_Nd1Mg12.poscar,321,mp-30772,2,0.019014847,NdMg12,-0.034304952,5.420748
324,324_Ba4Mg1Cu4O8.poscar,325,mp-2229481,4,0.16229289,Ba4Mg(CuO2)4,-1.948603275,3.0295897
332,332_Mg1Nb2Te4Cl10O1.poscar,333,mp-1233220,5,0.106020101,MgNb2Te4Cl10O,-1.444182131,7.0249996
353,353_Sr8Mg1Mn6O20.poscar,354,mp-2220228,4,0.111654979,Sr8MgMn6O20,-2.527501257,3.3245482
360,360_Mg4Sc2.poscar,361,mp-1185779,2,0.030227317,Mg2Sc,-0.009237502,4.57934
361,361_Mg1Si6O12.poscar,362,mp-1233788,3,0.172396578,Mg(SiO2)6,-3.001243203,48.92057
379,379_Mg2Hg1Au1.poscar,380,mp-1185760,3,0.00154401,Mg2HgAu,-0.409658131,4.711271
380,380_Y1Mg1Cu4.poscar,381,mp-13172,3,0.0,YMgCu4,-0.234213899,3.7568712
389,389_Mg1Mo2H1O6.poscar,390,mp-2222932,4,0.133917632,MgMo2HO6,-2.002296049,2.2185044
392,392_Mg1Bi4O8.poscar,393,mp-2226761,3,0.061312213,Mg(BiO2)4,-1.752256047,2.1951323
396,396_Y1Mg6Bi1O8.poscar,397,mp-1031973,4,0.537687669,YMg6BiO8,-2.459996672,5.491934
400,400_Mg14Fe1C1O16.poscar,401,mp-1035480,4,0.234672105,Mg14FeCO16,-2.629438056,4.649858
423,423_Mg2Al12Fe2Si4B4O36.poscar,424,mp-1222184,6,0.0,MgAl6FeSi2(BO9)2,-3.197639452,10.3309765
427,427_Mg2Re6S8O22.poscar,428,mp-1204180,4,1.409529445,MgRe3S4O11,-0.530924011,2.0042217
436,436_Mg6Si8.poscar,437,mp-1075163,2,0.290115809,Mg3Si4,0.207363761,2.4172332
442,442_Na2La2Mg1Ti2O8.poscar,443,mp-2226814,5,0.321071661,Na2La2MgTi2O8,-2.887808487,7.543855
445,445_Sr2Mg1Cu1C1N2O2.poscar,446,mp-2239929,6,0.788347456,Sr2MgCuC(NO)2,-1.035612348,28.01133
446,446_Rb1Mg30Bi1O32.poscar,447,mp-1039612,4,0.130043351,RbMg30BiO32,-2.839809306,33.283268
447,447_Rb1Hf1Mg30O31.poscar,448,mp-1039707,4,0.131951781,RbHfMg30O31,-2.87238801,6.182505
469,469_Mg2Sb4P4O20.poscar,470,mp-1043471,4,0.152539647,MgSb2(PO5)2,-2.316937494,3.3540018
476,476_Rb1Mg6Bi1O8.poscar,477,mp-1033513,4,0.418951956,RbMg6BiO8,-2.298337775,31.416733
479,479_Mg8Si6.poscar,480,mp-1074320,2,0.172164319,Mg4Si3,0.061828256,3.328428
482,482_Ba1Mg14Bi1O16.poscar,483,mp-1033835,4,0.317464616,BaMg14BiO16,-2.629298145,24.558578
485,485_Ba2Mg1Mo2O8.poscar,486,mp-2218462,4,0.185328244,Ba2Mg(MoO4)2,-2.489291502,18.141148
488,488_Dy4Mg2Ti2O12.poscar,489,mp-1213085,4,0.016138378,Dy2MgTiO6,-3.705562942,19.915764
491,491_Na2Mg2N2.poscar,492,mp-1245774,3,0.229953979,NaMgN,-0.322606592,6.535896
498,498_Tm3Mg3Tl3.poscar,499,mp-1206000,3,0.0,TmMgTl,-0.285263583,13.158685
499,499_Mg1Mn4Zn2O8.poscar,500,mp-2227769,4,0.16442975,MgMn4Zn2O8,-1.941695969,2.1272702
508,508_Na8Mg1Co2O8.poscar,509,mp-2231861,4,0.078244683,Na8Mg(CoO4)2,-1.63092282,5.9643393
509,509_Mg1Cu2S2O10.poscar,510,mp-2232139,4,0.092677773,MgCu2(SO5)2,-1.618117526,3.5580273
518,518_Mg15Zr1.poscar,519,mp-1023619,2,0.038098586,Mg15Zr,0.017972764,5.6612663
519,519_Ba1Mg14Bi1.poscar,520,mp-1026537,3,0.138719297,BaMg14Bi,0.000746079,5.691165
526,526_Ho16Mg8Se32.poscar,527,mp-1232179,3,0.038266905,Ho2MgSe4,-1.931586436,23.488916
530,530_Ba1Na2Mg1P2O8.poscar,531,mp-861906,5,0.0,BaNa2Mg(PO4)2,-2.963758474,38.555874
541,541_Ba2Mg1Re1O6.poscar,542,mp-22441,4,0.0,Ba2MgReO6,-2.840822494,34.080498
544,544_Mg2Fe2F8.poscar,545,mp-1045307,3,0.127111472,MgFeF4,-3.083673803,17.615597
550,550_Mg1Ti4Pb2O9F2.poscar,551,mp-2233030,5,0.160874288,MgTi4Pb2O9F2,-2.988555384,2.553201
556,556_Mg30V1Cd1O32.poscar,557,mp-1036742,4,0.030802041,Mg30VCdO32,-2.954924913,30.703882
557,557_Y1Mg30Nb1O32.poscar,558,mp-1037200,4,0.105397251,YMg30NbO32,-2.949056783,7.0485578
559,559_Mg6Si8.poscar,560,mp-1075030,2,0.241299091,Mg3Si4,0.158547044,2.5618143
566,566_Ba2Li1Mg1.poscar,567,mp-1096727,3,1.370939403,Ba2LiMg,1.340946537,6.870506
576,576_Ba1Mg1Sb2O6.poscar,577,mp-2224172,4,0.186676418,BaMg(SbO3)2,-2.281608514,1.6839942
578,578_Sr1Mg14Cr1O16.poscar,579,mp-1034524,4,0.114643717,SrMg14CrO16,-2.880486563,17.994635
579,579_Dy2Mg1V2O8.poscar,580,mp-2218643,4,0.136837585,Dy2MgV2O8,-3.084606138,32.20642
582,582_Eu2Mg4.poscar,583,mp-1184321,2,0.0,EuMg2,-0.114799502,4.476653
588,588_Na2Mg1Cu2Te1O6.poscar,589,mp-2218188,5,0.137081616,Na2MgCu2TeO6,-1.615432452,9.81894
589,589_Na15Mg3Ti9Si3P15O72.poscar,590,mp-2714047,6,0.025843359,Na5MgTi3SiP5O24,-2.936093753,4.8021817
596,596_Yb1Mg16Al12.poscar,597,mp-865880,3,0.004032738,Yb(Mg4Al3)4,-0.055753817,4.2725186
601,601_Mg4Sb2.poscar,602,mp-1094572,2,0.226844841,Mg2Sb,-0.148835893,19.665934
607,607_Y1Mg1.poscar,608,mp-1094391,2,1.332473085,YMg,1.221690427,5.1272206
612,612_Na4Mg2S4O24.poscar,613,mp-1201755,4,0.486515468,Na2Mg(SO6)2,-1.281185993,2.759717
623,623_Y1Mg14C1O16.poscar,624,mp-1035896,4,0.309894416,YMg14CO16,-2.720634841,12.232689
624,624_Na42Mg12Si21Sn12S15O144.poscar,625,mp-2715757,6,0.107216885,Na14Mg4Si7Sn4S5O48,-2.452884928,12.688979
634,634_Mg1N6Cl2.poscar,635,mp-1078952,3,3.756321171,Mg(N3Cl)2,3.00114875,6.05718
643,643_Mg16Si16O48.poscar,644,mp-642228,3,0.204268392,MgSiO3,-3.031876137,56.194263
655,655_Mg1Bi2O4.poscar,656,mp-2224741,3,0.238413764,Mg(BiO2)2,-1.821532509,6.860231
681,681_Ba6Mg1Sc2C2O6F14.poscar,682,mp-1234212,6,0.12784178,Ba6MgSc2C2(O3F7)2,-3.585451548,36.292847
686,686_Mg16Al13.poscar,687,mp-1094683,2,0.010447255,Mg16Al13,-0.015890168,4.9428864
687,687_Li3Mg3Al3H18.poscar,688,mp-1193498,4,0.0,LiMgAlH6,-0.292353699,62.254944
695,695_Na30Mg12Si15Sn12S21O144.poscar,696,mp-2715113,6,0.145934804,Na10Mg4Si5Sn4S7O48,-2.340994588,13.66869
703,703_Mg1Co2B2O6.poscar,704,mp-2217796,4,0.29990915,MgCo2(BO3)2,-2.236363433,5.484036
719,719_Cs1Rb1Mg30O31.poscar,720,mp-1039828,4,0.218123665,CsRbMg30O31,-2.746018592,41.847324
721,721_Mg6Cr1Sn1O8.poscar,722,mp-1031541,4,0.280145579,Mg6CrSnO8,-2.497581108,5.59751
729,729_Mg4Si8.poscar,730,mp-1073358,2,0.213673908,MgSi2,0.149311205,9.391447
730,730_Sm5Mg1.poscar,731,mp-979459,2,0.045164058,Sm5Mg,0.011959022,6.3674264
737,737_Mg1Ag14Pb6O18.poscar,738,mp-1233813,4,0.112379384,MgAg14(PbO3)6,-0.822362607,3.6728444
739,739_Eu2Mg1Fe2O5.poscar,740,mp-2241404,4,0.568084339,Eu2MgFe2O5,-1.94676512,1.9914423
744,744_Li2Mg4.poscar,745,mp-1094605,2,0.030519865,LiMg2,-0.026843398,4.105092
766,766_Mg1Mn6O7F5.poscar,767,mp-2231885,4,0.139789782,MgMn6O7F5,-2.370872268,3.3011763
772,772_Mg10Si12.poscar,773,mp-1075486,2,0.184403645,Mg5Si6,0.096636323,2.5175686
784,784_Mg8Si12.poscar,785,mp-1072984,2,0.248585058,Mg2Si3,0.171349814,3.156825
790,790_Mg1Ti1Zn1Bi2O6.poscar,791,mp-2227212,5,0.287997285,MgTiZn(BiO3)2,-2.075384979,4.819226
794,794_Ca4Mg2As4H8O20.poscar,795,mp-1214276,5,0.0,Ca2MgAs2(H2O5)2,-2.216987683,39.00379
802,802_Mg12Zr2Fe2.poscar,803,mp-1022711,3,0.256491895,Mg6ZrFe,0.187375881,5.6158657
811,811_Ce1Hf1Mg6O8.poscar,812,mp-1031221,4,0.447840661,CeHfMg6O8,-2.623976117,7.4012675
828,828_Mg16B2Rh8.poscar,829,mp-568621,3,0.0,Mg8BRh4,-0.435582617,3.5458193
829,829_Mg4B12H60O52.poscar,830,mp-706339,4,0.015383048,MgB3H15O13,-1.765128754,48.680813
842,842_Na1Mg30W1O32.poscar,843,mp-1039782,4,0.033376873,NaMg30WO32,-2.95125397,43.94928
852,852_Mg12Ti2Fe2.poscar,853,mp-1022329,3,0.2812428,Mg6TiFe,0.164842243,5.3364716
857,857_Mg1Mn3Zn2O8.poscar,858,mp-2225019,4,0.128097092,MgMn3Zn2O8,-1.966699687,8.01677
859,859_Mg4Ge4N8.poscar,860,mp-7798,3,0.0,MgGeN2,-0.75875496,11.225102
861,861_Ba1Mg30V1O32.poscar,862,mp-1036802,4,0.08539245,BaMg30VO32,-2.938086786,12.029805
869,869_Mg14Si4H12O28.poscar,870,mp-1180494,4,0.000875313,Mg7Si2(H3O7)2,-2.594473336,37.563793
882,882_Mg1Fe8O14F2.poscar,883,mp-1234549,4,0.23505688,MgFe8(O7F)2,-1.590756535,4.2777
883,883_Ba2Y1Mg1Bi1O6.poscar,884,mp-2227127,5,0.36547412,Ba2YMgBiO6,-2.551220854,1.8613237
885,885_Mg1Pb4W2O10.poscar,886,mp-2229854,4,0.193264822,MgPb4(WO5)2,-1.791622769,7.9437633
893,893_Mg1Mn6O10F2.poscar,894,mp-2228845,4,0.193375597,MgMn6(O5F)2,-2.042158183,3.2079349
924,924_Ba4Mg4Sn4F28.poscar,925,mp-1041291,4,0.116709799,BaMgSnF7,-3.405425121,40.538784
926,926_Mg4Si6.poscar,927,mp-1073308,2,0.231527806,Mg2Si3,0.154292562,2.507599
929,929_Ba2Mg1Zn1W1O6.poscar,930,mp-2217307,5,0.478155116,Ba2MgZnWO6,-2.210032749,5.336133
935,935_Ba2Pr1Mg1Nb1O6.poscar,936,mp-2217292,5,0.392101689,Ba2PrMgNbO6,-2.748459488,16.25599
942,942_Mg1Co6Ag2P6H4O24.poscar,943,mp-1234777,6,0.173868269,MgCo6Ag2P6(HO6)4,-1.913695094,4.4612317
944,944_Mg4Si8.poscar,945,mp-1073465,2,0.291959951,MgSi2,0.227597247,2.7356849
951,951_Ca2Mg12Fe2.poscar,952,mp-1023293,3,0.239364924,CaMg6Fe,0.187239991,5.4311113
958,958_Mg14Si8.poscar,959,mp-1074815,2,0.297191326,Mg7Si4,0.174317074,3.1292787
984,984_Mg2Nb3Bi3O14.poscar,985,mp-1222190,4,0.056009311,Mg2Nb3Bi3O14,-2.568374541,7.365921
1003,1003_Mg12Ni2B2.poscar,1004,mp-1021796,3,0.450437517,Mg6NiB,0.332600063,4.6868477
1036,1036_Mg2Co2W2S8.poscar,1037,mp-1246732,4,0.369901202,MgCoWS4,-0.809406859,5.328567
1044,1044_Sm3Mg1Bi1Ru4O14.poscar,1045,mp-1234253,5,0.113393232,Sm3MgBi(Ru2O7)2,-2.262541151,8.972519
1047,1047_Hf1Mg14Zn1.poscar,1048,mp-1027927,3,0.083745942,HfMg14Zn,0.035969006,3.747477
1055,1055_Mg16Ti8.poscar,1056,mp-1094386,2,0.124560545,Mg2Ti,0.110883388,4.332369
1056,1056_Mg4In8S16.poscar,1057,mp-1232222,3,0.063168215,Mg(InS2)2,-1.034723728,5.4481225
1061,1061_Mg6Ti12O24.poscar,1062,mp-1357438,3,0.064243174,MgTi2O4,-3.173738958,5.3084774
1062,1062_Lu3Mg3Tl3.poscar,1063,mp-1205959,3,0.0,LuMgTl,-0.257495771,3.8688164
1063,1063_Mg1Te2Mo1W2Se2S2.poscar,1064,mp-2223876,6,0.304291103,MgTe2MoW2(SeS)2,-0.662157069,11.062649
1066,1066_La2Mg12Mn2.poscar,1067,mp-1022987,3,0.210261912,LaMg6Mn,0.136372608,5.304917
1076,1076_Mg6Cd1Fe1O8.poscar,1077,mp-1032129,4,0.074470736,Mg6CdFeO8,-2.571997394,18.931526
1093,1093_Ba3Mg1Mn3O9.poscar,1094,mp-2224810,4,0.134215367,Ba3MgMn3O9,-2.429267113,3.2353234
1097,1097_Pr2Mg1Mn2Ge2O10.poscar,1098,mp-2229141,5,0.065605193,Pr2MgMn2(GeO5)2,-2.657435696,26.186106
1103,1103_Mg2Ti2Fe2P6O24.poscar,1104,mp-1044282,5,0.004456688,MgTiFe(PO4)3,-2.810068407,8.812876
1113,1113_Rb1Na1Mg14O15.poscar,1114,mp-1034663,4,0.234998626,RbNaMg14O15,-2.64843786,18.30819
1125,1125_K4Mg1Nb2Cu2S8.poscar,1126,mp-2229000,5,0.19237873,K4MgNb2(CuS4)2,-1.140761829,5.0359945
1170,1170_Mg6Si4H8O18.poscar,1171,mp-24097,4,0.0,Mg3Si2H4O9,-2.592212359,40.906715
1175,1175_Na2Mg1Co2O4.poscar,1176,mp-2217480,4,0.148866921,Na2Mg(CoO2)2,-1.635555828,5.7315955
1183,1183_Mg20Zn35.poscar,1184,mp-935148,2,0.00211316,Mg4Zn7,-0.130044653,4.4014363
1204,1204_Mg1V4As2O13.poscar,1205,mp-2230024,4,0.162512496,MgV4As2O13,-2.159184263,7.6324315
1210,1210_Y1Mg14Ti1O16.poscar,1211,mp-1035958,4,0.148624034,YMg14TiO16,-2.929385862,15.592832
1231,1231_Mg1Fe4P12O36.poscar,1232,mp-2224681,4,0.05567534,MgFe4(PO3)12,-2.485984613,6.4032397
1238,1238_Mg1V1Cr3S8.poscar,1239,mp-1246349,4,0.021296331,MgVCr3S8,-1.118720225,2.0730603
1254,1254_Mg1Fe7Ni6O16.poscar,1255,mp-1233210,4,0.146789646,MgFe7(Ni3O8)2,-1.438977741,11.556502
1257,1257_Cs1Mg1Fe1Mo2O8.poscar,1258,mp-2219036,5,0.154215595,CsMgFe(MoO4)2,-2.039244974,6.189049
1261,1261_Mg3C1.poscar,1262,mp-1016240,2,0.684407601,Mg3C,0.684407601,2.3292522
1268,1268_Mg1Co2O4.poscar,1269,mp-2222947,3,0.366367401,Mg(CoO2)2,-1.481272129,2.2049956
1269,1269_Na2Pr2Mg1Ti2O8.poscar,1270,mp-2227732,5,0.142109808,Na2Pr2MgTi2O8,-3.016068712,10.039768
1293,1293_Mg1Sn1Pt2.poscar,1294,mp-1093588,3,1.985004146,MgSnPt2,1.343077521,4.6059217
1296,1296_Mg1Te4Mo2W2Se2S2.poscar,1297,mp-2218861,6,0.25056248,MgTe4Mo2W2(SeS)2,-0.621329555,13.388858
1298,1298_Pr2Mg2Sb4O12.poscar,1299,mp-1044416,4,0.272473092,PrMg(SbO3)2,-2.343679053,11.651255
1299,1299_Mg2Mn2Al2S8.poscar,1300,mp-1246445,4,0.039340799,MgMnAlS4,-1.248692659,2.2243276
1300,1300_Mg4Mn8O16.poscar,1301,mp-1291746,3,0.028073881,MgMn2O4,-2.313966302,28.832266
