Filename,Material,Predicted_CT,Predicted_Energy
64-Mg2YB2Au5.poscar,Mg2YB2Au5,51.69549,0.035545789
28-MgAlB4.poscar,MgAlB4,25.632048,0.028184286
184-Mg2HfB2Au5.poscar,Mg2HfB2Au5,24.925976,0.047667642
144-Mg2ZrB2Au5.poscar,Mg2ZrB2Au5,17.671694,0.047358968
183-Mg2HfB2Ag5.poscar,Mg2HfB2Ag5,13.499399,0.039513748
1297-Mg2GeB2Rh5.poscar,Mg2GeB2Rh5,12.448829,0.007848018
216-Mg2VB2Co5.poscar,Mg2VB2Co5,12.288955,0.030517535
621-Mg2OsB2Pt5.poscar,Mg2OsB2Pt5,12.198606,0.036213629
501-Mg2ReB2Pt5.poscar,Mg2ReB2Pt5,12.027156,0.046559616
377-Mg2WB2Rh5.poscar,Mg2WB2Rh5,11.38258,0.032836204
537-Mg2FeB2Rh5.poscar,Mg2FeB2Rh5,10.614398,0.022739773
181-Mg2HfB2Pt5.poscar,Mg2HfB2Pt5,10.578631,0.034533284
339-Mg2MoB2Ni5.poscar,Mg2MoB2Ni5,10.532056,0.024176925
177-Mg2HfB2Rh5.poscar,Mg2HfB2Rh5,10.378444,0.02253105
774-Mg2NiB2Ru5.poscar,Mg2NiB2Ru5,10.340877,0.019505472
57-Mg2YB2Rh5.poscar,Mg2YB2Rh5,9.768598,0.025413797
1181-Mg2GaB2Pt5.poscar,Mg2GaB2Pt5,9.657586,0.034049247
374-Mg2WB2Ru5.poscar,Mg2WB2Ru5,9.631354,0.032286196
380-Mg2WB2Pd5.poscar,Mg2WB2Pd5,9.618045,0.047095049
143-Mg2ZrB2Ag5.poscar,Mg2ZrB2Ag5,9.603882,0.044342318
1417-Mg2AsB2Rh5.poscar,Mg2AsB2Rh5,9.5829115,0.032642049
814-Mg2PdB2Ru5.poscar,Mg2PdB2Ru5,9.545567,0.030862759
1094-Mg2HgB2Ru5.poscar,Mg2HgB2Ru5,9.440946,0.046881009
221-Mg2VB2Pt5.poscar,Mg2VB2Pt5,9.310357,0.023683843
101-Mg2TiB2Pt5.poscar,Mg2TiB2Pt5,9.278232,0.023886387
1101-Mg2HgB2Pt5.poscar,Mg2HgB2Pt5,9.250829,0.047973932
160-Mg2HfB2Cu5.poscar,Mg2HfB2Cu5,9.225333,0.042183735
182-Mg2HfB2Cu5.poscar,Mg2HfB2Cu5,9.225333,0.042183735
1177-Mg2GaB2Rh5.poscar,Mg2GaB2Rh5,9.112812,0.011831544
424-Mg2MnB2Au5.poscar,Mg2MnB2Au5,8.841517,0.047537075
1178-Mg2GaB2Ir5.poscar,Mg2GaB2Ir5,8.382996,0.011311112
1377-Mg2PbB2Rh5.poscar,Mg2PbB2Rh5,8.284492,0.039299206
1221-Mg2InB2Pt5.poscar,Mg2InB2Pt5,8.263171,0.033827315
13-Mg4FeB10.poscar,Mg4FeB10,8.246445,0.037183304
1334-Mg2SnB2Ru5.poscar,Mg2SnB2Ru5,8.118558,0.045171779
739-Mg2IrB2Ni5.poscar,Mg2IrB2Ni5,7.5940466,0.020498903
657-Mg2CoB2Rh5.poscar,Mg2CoB2Rh5,7.515642,0.02027055
54-Mg2YB2Ru5.poscar,Mg2YB2Ru5,7.4989314,0.030107763
494-Mg2ReB2Ru5.poscar,Mg2ReB2Ru5,7.42173,0.036809734
379-Mg2WB2Ni5.poscar,Mg2WB2Ni5,7.414905,0.039172128
4-MgHfB4.poscar,MgHfB4,7.3889775,0.044662722
61-Mg2YB2Pt5.poscar,Mg2YB2Pt5,7.369318,0.023455257
1097-Mg2HgB2Rh5.poscar,Mg2HgB2Rh5,7.2604666,0.024111625
619-Mg2OsB2Ni5.poscar,Mg2OsB2Ni5,7.2083306,0.025249756
137-Mg2ZrB2Rh5.poscar,Mg2ZrB2Rh5,7.152135,0.030487488
614-Mg2OsB2Ru5.poscar,Mg2OsB2Ru5,7.090449,0.036962883
1217-Mg2InB2Rh5.poscar,Mg2InB2Rh5,7.0049086,0.017337614
654-Mg2CoB2Ru5.poscar,Mg2CoB2Ru5,6.99468,0.028158442
534-Mg2FeB2Ru5.poscar,Mg2FeB2Ru5,6.8883176,0.022970283
1338-Mg2SnB2Ir5.poscar,Mg2SnB2Ir5,6.6320467,0.035693306
299-Mg2TaB2Ni5.poscar,Mg2TaB2Ni5,6.6199174,0.026516685
1018-Mg2ZnB2Ir5.poscar,Mg2ZnB2Ir5,6.521834,0.006248419
65-Mg2YB2Zn5.poscar,Mg2YB2Zn5,6.461072,0.049571199
1059-Mg2CdB2Ni5.poscar,Mg2CdB2Ni5,6.4593844,0.021558043
63-Mg2YB2Ag5.poscar,Mg2YB2Ag5,6.4348435,0.038434294
303-Mg2TaB2Ag5.poscar,Mg2TaB2Ag5,6.4336534,0.045410906
1257-Mg2TlB2Rh5.poscar,Mg2TlB2Rh5,6.322382,0.024382257
1301-Mg2GeB2Pt5.poscar,Mg2GeB2Pt5,6.301168,0.036541262
120-Mg2ZrB2Cu5.poscar,Mg2ZrB2Cu5,6.1244826,0.044398747
142-Mg2ZrB2Cu5.poscar,Mg2ZrB2Cu5,6.1244826,0.044398747
454-Mg2TcB2Ru5.poscar,Mg2TcB2Ru5,6.047422,0.036544087
80-Mg2TiB2Cu5.poscar,Mg2TiB2Cu5,6.0208015,0.048965203
102-Mg2TiB2Cu5.poscar,Mg2TiB2Cu5,6.0208015,0.048965203
414-Mg2MnB2Ru5.poscar,Mg2MnB2Ru5,5.864165,0.023109463
258-Mg2NbB2Ir5.poscar,Mg2NbB2Ir5,5.852367,0.013575144
294-Mg2TaB2Ru5.poscar,Mg2TaB2Ru5,5.850708,0.019490604
